run,Accuracy,Precision,Recall,F1,F2,F0.5,Average Precision
1,0.9624624624624625,0.7037037037037037,0.8085106382978723,0.7524752475247524,0.7851239669421487,0.7224334600760456,0.5824654441675717
2,0.963963963963964,0.6949152542372882,0.8723404255319149,0.7735849056603775,0.8299595141700405,0.7243816254416962,0.6152116775989839
3,0.9684684684684685,0.7166666666666667,0.9148936170212766,0.8037383177570094,0.8669354838709677,0.7491289198606272,0.6616797648712542
4,0.96996996996997,0.7547169811320755,0.851063829787234,0.8,0.8298755186721991,0.7722007722007721,0.6528228348782344
5,0.96996996996997,0.7647058823529411,0.8297872340425532,0.7959183673469387,0.8158995815899582,0.7768924302788844,0.646555190985729
6,0.9744744744744744,0.7884615384615384,0.8723404255319149,0.8282828282828283,0.8541666666666667,0.803921568627451,0.6968158829860958
7,0.9684684684684685,0.7407407407407407,0.851063829787234,0.7920792079207921,0.8264462809917356,0.7604562737642584,0.640928162204758
8,0.9669669669669669,0.7551020408163265,0.7872340425531915,0.7708333333333333,0.7805907172995781,0.7613168724279834,0.6094570471470168
9,0.9594594594594594,0.6612903225806451,0.8723404255319149,0.7522935779816514,0.82,0.6949152542372881,0.5858792904091463
10,0.96996996996997,0.7755102040816326,0.8085106382978723,0.7916666666666665,0.80168776371308,0.7818930041152262,0.6405217636220675
